"","contrast","estimate","SE","df","t.ratio","p.value"
"82","EUOC - RUMA",2.10231710608616,0.586232893839714,70,3.58614661199985,0.0552239420711461
"83","EUOC - SCAC",-1.90400380499841,0.586232893839648,70,-3.24786245365347,0.13164572042485
"84","EUOC - SCAM",-2.23827547605924,0.622687967693782,70,-3.59453786195521,0.0539652718167899
"85","EUOC - SCPU",-1.44822065951748,0.586232893839644,70,-2.47038450884611,0.559572340141596
"86","EUOC - SOCA",-1.03382519669105,0.586232893839664,70,-1.76350595054429,0.945581733975652
"87","EUOC - SYCI",-0.218706632093278,0.586232893839792,70,-0.373071239078316,0.999999999976473
"88","HENU - JUAR",-4.84253553538927,0.586232893839747,70,-8.26042957717933,8.53055182048479e-10
"89","HENU - JUGE",-3.40678643074026,0.586232893839685,70,-5.81131913022933,2.38224070334692e-05
"90","HENU - JUTO",-3.33623784074949,0.586232893839738,70,-5.690976872515,3.83141242696894e-05
"91","HENU - MUAS",-2.49317353714606,0.586232893839746,70,-4.25287213212502,0.00732239390172507
"92","HENU - PUNU",-3.21398597470833,0.586232893839735,70,-5.4824388199325,8.64295171718599e-05
"93","HENU - RUMA",-0.0125331461029417,0.586232893839746,70,-0.0213791246356909,1
"94","HENU - SCAC",-4.01885405718752,0.586232893839682,70,-6.85538819028903,3.38489298590261e-07
"95","HENU - SCAM",-4.35312572824835,0.622687967750061,70,-6.99086212309089,1.92475762661459e-07
"96","HENU - SCPU",-3.56307091170659,0.586232893839677,70,-6.07791024548174,8.20543955848407e-06
"97","HENU - SOCA",-3.14867544888015,0.586232893839697,70,-5.37103168717984,0.000132723488788233
"98","HENU - SYCI",-2.33355688428238,0.58623289383982,70,-3.9805969757132,0.0174419362754984
"99","JUAR - JUGE",1.43574910464901,0.586232893839684,70,2.44911044695087,0.574855672068523
"100","JUAR - JUTO",1.50629769463978,0.586232893839737,70,2.56945270466445,0.488919395063949
"101","JUAR - MUAS",2.34936199824321,0.586232893839746,70,4.00755744505432,0.0160444468069822
"102","JUAR - PUNU",1.62854956068094,0.586232893839734,70,2.777990757247,0.350101716546851
"103","JUAR - RUMA",4.83000238928633,0.586232893839749,70,8.2390504525436,9.39634592356242e-10
"104","JUAR - SCAC",0.823681478201756,0.58623289383968,70,1.40504138689122,0.993906573006311
"105","JUAR - SCAM",0.489409807140927,0.622687967621256,70,0.785963167090786,0.999996932851802
"106","JUAR - SCPU",1.27946462368269,0.586232893839676,70,2.18251933169857,0.75772906653475
"107","JUAR - SOCA",1.69386008650912,0.586232893839696,70,2.88939789000018,0.28523037805049
"108","JUAR - SYCI",2.50897865110689,0.586232893839831,70,4.27983260146502,0.00670049976383691
"109","JUGE - JUTO",0.0705485899907715,0.586232893839677,70,0.120342257713818,1
"110","JUGE - MUAS",0.913612893594203,0.586232893839685,70,1.55844699810387,0.982260314744575
"111","JUGE - PUNU",0.192800456031931,0.586232893839673,70,0.32888031029637,0.999999999997218
"112","JUGE - RUMA",3.39425328463732,0.586232893839687,70,5.78994000559362,2.59282379670989e-05
"113","JUGE - SCAC",-0.612067626447255,0.58623289383962,70,-1.04406906005978,0.999833611180262
"114","JUGE - SCAM",-0.946339297508083,0.622687967659385,70,-1.51976486885601,0.986169068682272
"115","JUGE - SCPU",-0.156284480966324,0.586232893839615,70,-0.266591115252365,1
"116","JUGE - SOCA",0.258110981860111,0.586232893839636,70,0.440287443049412,0.999999999644348
"117","JUGE - SYCI",1.07322954645788,0.586232893839633,70,1.83072215451538,0.92627789637526
"118","JUTO - MUAS",0.843064303603431,0.586232893839739,70,1.43810474038992,0.992180387040751
"119","JUTO - PUNU",0.122251866041159,0.586232893839727,70,0.208538052582532,1
"120","JUTO - RUMA",3.32370469464655,0.586232893839741,70,5.66959774787929,4.16714439195331e-05
"121","JUTO - SCAC",-0.682616216438026,0.586232893839673,70,-1.1644113177735,0.999322136415161
"122","JUTO - SCAM",-1.01688788749885,0.62268796766132,70,-1.63306172643429,0.972326450103738
"123","JUTO - SCPU",-0.226833070957096,0.586232893839669,70,-0.38693337296616,0.999999999957034
"124","JUTO - SOCA",0.187562391869339,0.586232893839689,70,0.319945185335557,0.999999999998288
"125","JUTO - SYCI",1.00268095646711,0.586232893839686,70,1.7103798968014,0.95807603851875
"126","MUAS - PUNU",-0.720812437562272,0.586232893839736,70,-1.2295666878074,0.998678425311919
"127","MUAS - RUMA",2.48064039104312,0.586232893839749,70,4.23149300748931,0.00785362519971633
"128","MUAS - SCAC",-1.52568052004146,0.586232893839682,70,-2.60251605816355,0.465775546823288
"129","MUAS - SCAM",-1.85995219110229,0.622687967683741,70,-2.98697307099235,0.234973015405124
"130","MUAS - SCPU",-1.06989737456053,0.586232893839678,70,-1.82503811335623,0.928068206103446
"131","MUAS - SOCA",-0.655501911734092,0.586232893839698,70,-1.11815955505447,0.999593724134396
"132","MUAS - SYCI",0.159616652863679,0.586232893839827,70,0.272275156411284,1
"133","PUNU - RUMA",3.20145282860539,0.586232893839737,70,5.46105969529679,9.38749272123562e-05
"134","PUNU - SCAC",-0.804868082479185,0.58623289383967,70,-1.37294937035606,0.995268687605812
"135","PUNU - SCAM",-1.13913975354001,0.622687967664562,70,-1.8293909834366,0.926699844956924
"136","PUNU - SCPU",-0.349084936998255,0.586232893839666,70,-0.595471425548716,0.999999955518191
"137","PUNU - SOCA",0.06531052582818,0.586232893839686,70,0.111407132753011,1
"138","PUNU - SYCI",0.880429090425951,0.586232893839683,70,1.50184184421886,0.987730893382055
"139","RUMA - SCAC",-4.00632091108458,0.586232893839684,70,-6.83400906565331,3.69955323709092e-07
"140","RUMA - SCAM",-4.3405925821454,0.62268796774973,70,-6.97073463267877,2.09342924550882e-07
"141","RUMA - SCPU",-3.55053776560364,0.58623289383968,70,-6.05653112084603,8.94313825794413e-06
"142","RUMA - SOCA",-3.13614230277721,0.586232893839699,70,-5.34965256254413,0.000144041034133791
"143","RUMA - SYCI",-2.32102373817944,0.586232893839688,70,-3.9592178510784,0.0186286720008557
"144","SCAC - SCAM",-0.334271671060828,0.622687967643105,70,-0.536820507911945,0.999999991353036
"145","SCAC - SCPU",0.455783145480931,0.586232893839612,70,0.777477944807425,0.999997387497021
"146","SCAC - SOCA",0.870178608307365,0.586232893839632,70,1.48435650310917,0.989115371110576
"147","SCAC - SYCI",1.68529717290514,0.586232893839765,70,2.87479121457449,0.293294186023102
"148","SCAM - SCPU",0.790054816541759,0.622687967655218,70,1.2687812477199,0.998079187603787
"149","SCAM - SOCA",1.20445027936819,0.622687967666263,70,1.93427582017087,0.888355591791738
"150","SCAM - SYCI",2.01956884396596,0.622687967902438,70,3.24330796172119,0.133079547049037
"151","SCPU - SOCA",0.414395462826435,0.586232893839628,70,0.706878558301777,0.999999372742484
"152","SCPU - SYCI",1.22951402742421,0.586232893839662,70,2.09731326976764,0.808384306446545
"153","SOCA - SYCI",0.815118564597771,0.586232893839647,70,1.39043471146594,0.994561973659741
