"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"137","PUNU / SOCA",1.00632487799137,0.181123187779372,68,1,0.0350305119552315,1
"138","PUNU / SYCI",0.914489827205243,0.161264105789265,68,1,-0.506903079353925,0.999999996467758
"139","RUMA / SCAC",0.214993810161067,0.0491051791577285,68,1,-6.72998021479216,6.37152586691059e-07
"140","RUMA / SCAM",0.173158481335704,0.0419078651181097,68,1,-7.24545887517985,7.61245606550887e-08
"141","RUMA / SCPU",0.285756294801892,0.0663211102632702,68,1,-5.39711851242484,0.000126992924157632
"142","RUMA / SOCA",0.261487678875305,0.060670678705818,68,1,-5.78123142925749,2.87886915584235e-05
"143","RUMA / SYCI",0.23762487393562,0.0544794040051082,68,1,-6.26808763585321,4.158687543665e-06
"144","SCAC / SCAM",0.805411473037197,0.15126958140521,68,1,-1.15219887772772,0.999398806220935
"145","SCAC / SCPU",1.32913731138497,0.233694037127072,68,1,1.61826792170245,0.97442535610937
"146","SCAC / SOCA",1.21625677818076,0.21409058795743,68,1,1.11222185727293,0.999615704594967
"147","SCAC / SYCI",1.10526379228127,0.190413608634814,68,1,0.580941972210515,0.99999996921883
"148","SCAM / SCPU",1.65025872598116,0.316564764646098,68,1,2.61136938541523,0.460022978427087
"149","SCAM / SOCA",1.51010609967383,0.290530771283187,68,1,2.14240783549441,0.782007690694497
"150","SCAM / SYCI",1.37229705471333,0.259199058803648,68,1,1.67559570791893,0.964854017046883
"151","SCPU / SOCA",0.915072331325504,0.165156821489421,68,1,-0.491742641352796,0.999999997830277
"152","SCPU / SYCI",0.831564792300935,0.147017480566689,68,1,-1.04326948045314,0.999833048554717
"153","SOCA / SYCI",0.908742144018707,0.16091413687202,68,1,-0.540419114167745,0.999999990187618
